2024-04-22 11:23:52: == 同步开始由 User Command
2024-04-22 11:23:52: 创建文件夹 Z:/E/web/hexo/public/categories/Linux/page/3
- 错误: Cannot create folder: 找不到路径。  (error 3)
2024-04-22 11:23:52: /tags/自动启动/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/致秋/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/视频下载/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/设备接入/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/诗词/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/读书/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/路由固件/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/软路由/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/远程桌面/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/阅读/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /tags/音乐/index.html: unresolved conflict results in No Copy
2024-04-22 11:23:52: /categories/Linux: Analyze error: Two items on Left side are named the same after normalization and lower-casing: '/categories/linux' vs '/categories/Linux'; Two items on Right side are named the same after normalization and lower-casing: '/categories/linux' vs '/categories/Linux'
2024-04-22 11:23:52: /tags/Github: Analyze error: Two items on Left side are named the same after normalization and lower-casing: '/tags/github' vs '/tags/Github'; Two items on Right side are named the same after normalization and lower-casing: '/tags/github' vs '/tags/Github'
2024-04-22 11:23:52: /tags/V2Ray: Analyze error: Two items on Left side are named the same after normalization and lower-casing: '/tags/v2ray' vs '/tags/V2Ray'; Two items on Right side are named the same after normalization and lower-casing: '/tags/v2ray' vs '/tags/V2Ray'
2024-04-22 11:23:52: == 同步完成. 历时: 00:00:00, 速度: 0.00/s, 完成: 0, 错误: 6, Conflicts: 345
